route_id,origin,destination_region,transport_mode,capacity_kg,capacity_m3,cost_per_kg,transit_days
ROUTE_001,Production_EU,North_America,Air_Express,5000,25.0,12.50,3
ROUTE_002,Production_EU,Europe,Ground_Express,15000,75.0,2.80,2
ROUTE_003,Production_EU,Asia_Pacific,Air_Standard,8000,40.0,8.90,7
ROUTE_004,Production_EU,Latin_America,Air_Express,6000,30.0,11.20,5
ROUTE_005,Packaging_US,North_America,Ground_Standard,25000,125.0,1.45,1
ROUTE_006,Packaging_US,Europe,Air_Standard,10000,50.0,9.75,6
ROUTE_007,Packaging_US,Asia_Pacific,Ocean_Standard,35000,175.0,3.20,21
ROUTE_008,Packaging_US,Latin_America,Ground_Express,18000,90.0,4.60,3
ROUTE_009,Testing_APAC,Asia_Pacific,Ground_Standard,20000,100.0,2.10,2
ROUTE_010,Testing_APAC,North_America,Air_Express,7000,35.0,13.40,8
ROUTE_011,Testing_APAC,Europe,Air_Standard,9000,45.0,10.30,9
ROUTE_012,Testing_APAC,Latin_America,Ocean_Standard,30000,150.0,4.80,28
ROUTE_013,Production_EU,North_America,Ocean_Standard,40000,200.0,2.90,14
ROUTE_014,Packaging_US,Europe,Ocean_Standard,32000,160.0,3.50,16
ROUTE_015,Testing_APAC,Asia_Pacific,Air_Express,5500,27.5,15.80,4
